key,0,1
11,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_009","ところで……
君は「トラルヴィドラール」という言葉の意味を知っているかな？"
12,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_010","これはマムージャ語で、「大地を掴み、離さぬ者」……
つまり大地を我がものとするほど強大な存在を示す言葉なんだ。
ヴァリガルマンダは、その最強格と言われている。"
13,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_011","だがしかし、長き封印から目覚めたばかりのヴァリガルマンダは、
決して本調子とは言えなかったろう。
もう少し時間が経てば、さらなる力を取り戻したのでは……？"
14,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_012","ふむ……ならば僕は想像の翼を広げ、
君たちと全盛期のヴァリガルマンダの戦いを夢想しよう。
それをもとに紡いだ詩は、きっと極上の物語になるに違いない！"
15,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_020","さて、今日はどんな話を聞かせてくれるのかな？"
16,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_021","先代連王の第一王子、ゾラージャの最期……か。
決してひとことで「心躍る冒険譚」と括ることのできない、
様々な感情が渦巻く物語だね。"
17,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_022","グルージャジャ唯一の実子として、
王位を継ぐ立派な長兄であろうとしたゾラージャ。
彼は、双頭でない自身に負い目を感じてもいたんだろうか。"
18,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_023","だから余計に、強大であろうとした。
しかし、その矜持は心の目を曇らせ、他を頼る選択肢を消した……
結果、彼は壁に行き当たった際に道を踏み外してしまった……。"
19,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_024","彼がドーム内の30年をどのような失意と怒りのなかで過ごしたか、
僕にはわからない。
わかったところで、彼が多くの命を奪った事実も変わらない。"
20,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_025","しかしね、僕はこうも思うんだよ。
最も認められたかったはずの父を殺したとき、
彼の生きる目的もまた、終わってしまったのではないか、と。"
21,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_026","これはあくまで僕の推測に過ぎないし、
彼の罪は、決して許されることはないだろう。
しかし、彼もまた人なり……その想いは、いずこに還るのか……。"
22,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_027","華々しい継承の儀の物語に落とされた影の一節、
聞かせてくれてありがとう。"
23,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_028","多くの人にとって、彼は親しい人の命を奪った憎き相手だ。
しかし、決してそれだけで終わらせてはならないようにも思う……
この物語は、慎重に、そして大切に語らせてもらうとするよ。"
24,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_030","さて、今日はどんな話を聞かせてくれるのかな？"
25,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_031","ドーム内に成立した新生アレクサンドリア連王国、
その女王スフェーンが辿った、葛藤と決断の物語か……。"
26,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_032","かの地において、人々は魂を資源として扱う社会に属し、
死後は記憶エーテルを<RubyCharaters>FF10E6B0B8E4B985E381ABE4BF9DE68C81FF13E382A8E38390E383BCE382ADE383BCE38397</RubyCharaters>され、
生命力を纏った形ある記憶……永久人として存在させる。"
27,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_033","だが、その糧には他者の生命力が必要……
となると我々の常識では簡単に肯定できそうもない。
君たちとぶつかるのは、必然だったとも言える。"
28,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_034","ただ君の話では、女王スフェーンもまた生者でなく、
何者かに「そうあるべき」と造られた機構だったそうじゃないか。
ならば思うに、この物語の不幸の一因はそこにあるのだろう。"
29,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_035","いかに善良な人の記憶を基にしたとしても、
永久人の守護者たれと規定されていては、選べる道は少ない……。"
30,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_036","ゆえに彼女は、自らの進む先が袋小路と気づいてなお、
歩み続けざるを得なかったのかもしれないね。"
31,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_037","ひとつ、質問をさせてもらえないだろうか。
君は、君と出会ったスフェーンが、「生きていた」と思うかい？"
32,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_Q5_000_001","何と言う？"
33,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_A5_000_002","彼女は確かに生きていた"
34,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_A5_000_003","彼女は生者ではなかった"
35,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_A5_000_004","わからない"
36,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_038","そうか、君はそう答えるんだね。
彼女の在り方が生者と異なると認識したうえで、それでも……。"
37,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_039","そうだね……彼女の在り方は、生者とは大きく異なる。
それは動かしようのない事実だ。"
38,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_040","そうだね、そのとおりだ。
彼女の在り方が生者と異なっていたことは事実だが……
「生」とは何か、その答えは簡単に出せないだろう。"
39,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_041","答えてくれてありがとう。
君の意見は、胸の内にしかと留めておくよ。"
40,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_042","そのうえで、僕はこうも思うんだ。
民の声を聞き、感じ、考え抜いた「彼女」という個は、
魂や命の有無と関係なく、この世界に確かに存在していたのだと。"
41,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_043","だからこそ彼女は……スフェーンは、
葛藤の果てで、最後に心を取り戻せたんだと思うのさ。"
42,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_044","一方で、僕は少し怖くも思ったんだ。
もしも彼女が心を取り戻さず、最後までただの兵器として……
<RubyCharaters>FF10E6B0B8E4B985E381AEE5A5B3E78E8BFF1CE382A8E382BFE383BCE3838AE383ABE382AFE382A4E383BCE383B3</RubyCharaters>たる機構として戦い続けたとしたら？"
43,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_045","きっと無慈悲に生命を吸い続ける、恐るべき存在となったはず。
僕はそんな結末もあえて詠おう……
彼女の歩んだ道と、歩まずに済んだ道のことを。"
44,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_046","『金翠の理王　黄金の決意もて　命奪う道を往き
　獅子の武王　黄金の決意もて　命守る道を歩まん』"
45,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_047","『在りし日の記憶　そこに残るは使命か枷か
　守護者の心に温もりを　破壊者ならば忘却を』"
46,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_SYSTEM_000_98",""
47,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_Q2_000_99",""
48,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_100",""
49,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_101",""
50,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_102",""
51,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_103",""
52,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_104",""
53,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_105",""
54,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_106",""
55,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_Q3_000_107",""
56,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_A3_000_108",""
57,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_A3_000_109",""
58,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_A3_000_110",""
59,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_111",""
60,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_112",""
61,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_113",""
62,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_114",""
63,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_115",""
64,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_116",""
65,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_117",""
66,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_118",""
67,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_Q4_000_119",""
68,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_A4_000_120",""
69,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_A4_000_121",""
70,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_122",""
71,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_123",""
72,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_124",""
73,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_125",""
74,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_126",""
75,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_127",""
76,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_128",""
77,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_129",""
78,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_130",""
79,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_131",""
80,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_132",""
81,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_133",""
82,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_134",""
83,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_200",""
84,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_201",""
85,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_202",""
86,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_203",""
87,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_204",""
88,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_205",""
89,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_206",""
90,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_207",""
91,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_208",""
92,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_209",""
93,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_210",""
94,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_211",""
95,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_212",""
96,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_213",""
97,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_214",""
98,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_215",""
99,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_216",""
100,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_217",""
101,"TEXT_CTSOPN70WANDERINGMINSTREL_00897_WANDERINGMINSTREL_000_218",""
