key,0,1,2,3,4,5,6,7,8,9,10,11,12
29,"ui/icon/196000/196211.tex","ui/icon/196000/196461.tex",1,0,0,0,"BannerCondition#526",0,0,0,3,2310,"友好部族クエスト：ナマズオ族"
30,"ui/icon/196000/196106.tex",,1,0,0,0,"BannerCondition#523",0,0,0,7,3950,"10周年記念"
31,"ui/icon/196000/196107.tex",,1,0,0,0,"BannerCondition#529",0,0,0,8,2343,"世界を釣る者"
32,"ui/icon/196000/196108.tex",,1,0,0,0,"BannerCondition#530",0,0,0,8,2344,"太公望への道"
33,"ui/icon/196000/196109.tex","ui/icon/196000/196351.tex",1,0,0,0,"BannerCondition#531",0,0,0,8,2350,"月下の雀士"
34,"ui/icon/196000/196206.tex","ui/icon/196000/196456.tex",1,0,0,0,"BannerCondition#567",0,0,0,3,2305,"友好部族クエスト：バヌバヌ族"
35,"ui/icon/196000/196207.tex","ui/icon/196000/196457.tex",1,0,0,0,"BannerCondition#568",0,0,0,3,2306,"友好部族クエスト：グナース族"
36,"ui/icon/196000/196208.tex","ui/icon/196000/196458.tex",1,0,0,0,"BannerCondition#569",0,0,0,3,2307,"友好部族クエスト：モーグリ族"
37,"ui/icon/196000/196113.tex",,1,0,0,0,"BannerCondition#572",0,0,0,3,2252,"ミソロジー・オブ・エオルゼア"
38,"ui/icon/196000/196112.tex",,1,0,0,0,"BannerCondition#573",0,0,0,3,2250,"タタルの大繁盛商店"
39,"ui/icon/196000/196110.tex",,2,0,0,0,"BannerCondition#570",0,0,0,8,2351,"クロの空想帳"
40,"ui/icon/196000/196111.tex",,1,0,0,0,"BannerCondition#571",0,0,0,8,2352,"ソーチョーの幻想盤"
41,"ui/icon/196000/196114.tex",,1,0,0,0,"BannerCondition#575",0,0,0,7,3951,"ブランダーヴィル1"
42,"ui/icon/196000/196115.tex",,1,0,0,0,"BannerCondition#576",0,0,0,7,3952,"ブランダーヴィル2"
43,"ui/icon/196000/196116.tex",,1,0,0,0,"BannerCondition#577",0,0,0,7,3953,"ブランダーヴィル3"
44,"ui/icon/196000/196117.tex",,1,0,0,0,"BannerCondition#607",0,0,0,7,3954,"妖怪ウォッチ ぷにぷに"
45,"ui/icon/196000/196204.tex","ui/icon/196000/196454.tex",1,0,0,0,"BannerCondition#694",0,0,0,3,2302,"友好部族クエスト：コボルド族"
46,"ui/icon/196000/196202.tex","ui/icon/196000/196452.tex",1,0,0,0,"BannerCondition#695",0,0,0,3,2301,"友好部族クエスト：シルフ族"
47,"ui/icon/196000/196201.tex","ui/icon/196000/196451.tex",1,0,0,0,"BannerCondition#696",0,0,0,3,2300,"友好部族クエスト：アマルジャ族"
48,"ui/icon/196000/196205.tex","ui/icon/196000/196455.tex",2,0,0,0,"BannerCondition#697",0,0,0,3,2303,"友好部族クエスト：サハギン族"
49,"ui/icon/196000/196203.tex","ui/icon/196000/196453.tex",1,0,0,0,"BannerCondition#698",0,0,0,3,2304,"友好部族クエスト：イクサル族"
50,"ui/icon/196000/196062.tex",,1,0,0,0,"BannerCondition#701",0,0,0,9,1036,"トライヨラ1"
51,"ui/icon/196000/196063.tex",,1,0,0,0,"BannerCondition#702",0,0,0,9,1037,"トライヨラ2"
52,"ui/icon/196000/196064.tex",,1,0,0,0,"BannerCondition#699",0,0,0,9,1038,"ソリューション・ナイン1"
53,"ui/icon/196000/196065.tex",,2,0,0,0,"BannerCondition#700",0,0,0,9,1039,"ソリューション・ナイン2"
54,"ui/icon/196000/196218.tex","ui/icon/196000/196468.tex",1,0,0,0,"BannerCondition#767",0,0,0,3,2317,"友好部族クエスト：ペルペル族"
55,"ui/icon/196000/196054.tex",,1,0,0,0,"BannerCondition#768",0,0,0,9,1020,"イシュガルド1"
56,"ui/icon/196000/196072.tex",,1,0,0,0,"BannerCondition#769",0,0,0,9,1021,"イシュガルド2"
57,"ui/icon/196000/196055.tex",,2,0,0,0,"BannerCondition#770",0,0,0,9,1022,"イディルシャイア1"
58,"ui/icon/196000/196073.tex",,1,0,0,0,"BannerCondition#771",0,0,0,9,1023,"イディルシャイア2"
59,"ui/icon/196000/196056.tex",,1,0,0,0,"BannerCondition#772",0,0,0,9,1024,"クガネ1"
60,"ui/icon/196000/196068.tex",,2,0,0,0,"BannerCondition#773",0,0,0,9,1025,"クガネ2"
61,"ui/icon/196000/196057.tex",,1,0,0,0,"BannerCondition#774",0,0,0,9,1026,"ラールガーズリーチ1"
62,"ui/icon/196000/196069.tex",,1,0,0,0,"BannerCondition#775",0,0,0,9,1027,"ラールガーズリーチ2"
63,"ui/icon/196000/196058.tex",,1,0,0,0,"BannerCondition#776",0,0,0,9,1028,"クリスタリウム1"
64,"ui/icon/196000/196070.tex",,1,0,0,0,"BannerCondition#777",0,0,0,9,1029,"クリスタリウム2"
65,"ui/icon/196000/196059.tex",,1,0,0,0,"BannerCondition#778",0,0,0,9,1030,"ユールモア1"
66,"ui/icon/196000/196071.tex",,1,0,0,0,"BannerCondition#779",0,0,0,9,1031,"ユールモア2"
67,"ui/icon/196000/196060.tex",,1,0,0,0,"BannerCondition#780",0,0,0,9,1032,"オールド・シャーレアン1"
68,"ui/icon/196000/196066.tex",,2,0,0,0,"BannerCondition#781",0,0,0,9,1033,"オールド・シャーレアン2"
69,"ui/icon/196000/196061.tex",,1,0,0,0,"BannerCondition#782",0,0,0,9,1034,"ラザハン1"
70,"ui/icon/196000/196067.tex",,1,0,0,0,"BannerCondition#783",0,0,0,9,1035,"ラザハン2"
71,"ui/icon/196000/196118.tex",,1,0,0,0,"BannerCondition#872",0,0,0,4,2505,"絶もうひとつの未来"
72,,,0,0,0,0,"BannerCondition#0",0,0,0,0,0,""
73,,,0,0,0,0,"BannerCondition#0",0,0,0,0,0,""
74,,,0,0,0,0,"BannerCondition#0",0,0,0,0,0,""
