key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
27,"チョコクリーム・チョコボケーキ",2,4,9,2,7,2,14,2,17,2,23,4,0,0,0,0
28,"チョコクリーム・チョコボケーキ",2,4,11,2,10,2,17,2,15,2,23,4,0,0,0,0
29,"チョコクリーム・サボテンダーケーキ",2,4,8,2,11,2,15,2,17,2,21,4,0,0,0,0
30,"チョコクリーム・サボテンダーケーキ",2,4,7,2,8,2,16,2,13,2,21,4,0,0,0,0
31,"レモンクリーム・ハートケーキ",5,4,11,2,10,2,13,2,17,2,22,4,0,0,0,0
32,"レモンクリーム・ハートケーキ",5,4,8,2,11,2,14,2,17,2,22,4,0,0,0,0
33,"レモンクリーム・モーグリケーキ",5,4,7,2,8,2,15,2,13,2,19,4,0,0,0,0
34,"レモンクリーム・モーグリケーキ",5,4,8,2,11,2,14,2,17,2,19,4,0,0,0,0
35,"レモンクリーム・エッグチョコケーキ",5,4,10,2,11,2,15,2,17,2,20,4,0,0,0,0
36,"レモンクリーム・エッグチョコケーキ",5,4,9,2,7,2,13,2,14,2,20,4,0,0,0,0
37,"レモンクリーム・チョコボケーキ",5,4,11,4,17,4,23,4,0,0,0,0,0,0,0,0
38,"レモンクリーム・チョコボケーキ",5,4,11,2,9,2,14,2,15,2,23,4,0,0,0,0
39,"レモンクリーム・サボテンダーケーキ",5,4,8,2,9,2,17,2,13,2,21,4,0,0,0,0
40,"レモンクリーム・サボテンダーケーキ",5,4,7,2,11,2,15,2,13,2,21,4,0,0,0,0
41,"ピスタチオクリーム・ハートケーキ",3,4,7,2,8,2,16,2,15,2,22,4,0,0,0,0
42,"ピスタチオクリーム・ハートケーキ",3,4,8,2,10,2,14,2,13,2,22,4,0,0,0,0
43,"ピスタチオクリーム・モーグリケーキ",3,4,10,2,11,2,15,2,13,2,19,4,0,0,0,0
44,"ピスタチオクリーム・モーグリケーキ",3,4,9,2,7,2,17,2,16,2,19,4,0,0,0,0
45,"ピスタチオクリーム・エッグチョコケーキ",3,4,11,2,9,2,15,2,14,2,20,4,0,0,0,0
46,"ピスタチオクリーム・エッグチョコケーキ",3,4,8,2,9,2,13,2,16,2,20,4,0,0,0,0
47,"ピスタチオクリーム・チョコボケーキ",3,4,7,2,11,2,16,2,15,2,23,4,0,0,0,0
48,"ピスタチオクリーム・チョコボケーキ",3,4,11,2,10,2,14,2,13,2,23,4,0,0,0,0
49,"ピスタチオクリーム・サボテンダーケーキ",3,4,9,4,15,4,21,4,0,0,0,0,0,0,0,0
50,"ピスタチオクリーム・サボテンダーケーキ",3,4,8,2,11,2,16,2,14,2,21,4,0,0,0,0
51,"アドベンチャラー・スペシャルケーキ",6,4,12,4,18,4,24,4,0,0,0,0,0,0,0,0
